DatabaseDesireNextYear|DatabaseWorkedWith|DevType|Ethnicity|Gender|JobFactors|LanguageDesireNextYear|LanguageWorkedWith|MiscTechDesireNextYear|MiscTechWorkedWith|NEWCollabToolsDesireNextYear|NEWCollabToolsWorkedWith|NEWJobHunt|NEWJobHuntResearch|NEWPurchaseResearch|NEWSOSites|NEWStuck|PlatformDesireNextYear|PlatformWorkedWith|Sexuality|WebframeDesireNextYear|WebframeWorkedWith
MariaDB|Couchbase|Scientist|White or of European descent|Man|Industry that I’d be working in|C#|Assembly|.NET|.NET|Jira|Confluence|Having a bad day (or week or month) at work|Read company media, such as employee blogs or company culture videos|Start a free trial|Stack Overflow Jobs (for job seekers)|Meditate|Docker|Android|Straight / Heterosexual|ASP.NET|ASP.NET
Microsoft SQL Server|Microsoft SQL Server|Developer, back-end|South Asian|Non-binary, genderqueer, or gender non-conforming|Languages, frameworks, and other technologies I’d be working with|Bash/Shell/PowerShell|Bash/Shell/PowerShell|.NET Core|Ansible|Slack|Github|Curious about other opportunities|Personal network - friends or family|Ask developers I know/work with|Stack Overflow for Teams (private Q&A for organizations)|Call a coworker or friend|Google Cloud Platform|Arduino|Gay or Lesbian|jQuery|jQuery
MongoDB|MySQL|Developer, desktop or enterprise applications|East Asian|Woman|How widely used or impactful my work output would be|JavaScript|C|Hadoop|Node.js|Microsoft Teams|Microsoft Teams|Trouble with my direct manager|Read other media like news articles, founder profiles, etc. about the company|Read ratings or reviews on third party sites like G2Crowd|Stack Overflow Talent (for hiring companies/recruiters)|Visit Stack Overflow|Kubernetes|Google Cloud Platform|Bisexual|Django|ASP.NET Core
MySQL|PostgreSQL|Developer, front-end|Biracial||Office environment or company culture|Python|C#|Node.js|Xamarin|Microsoft Azure|Gitlab|Trouble with leadership at my company|Directly asking current or past employees at the company|Research companies that have advertised on sites I visit|Stack Overflow Advertising (for technology companies)|Watch help / tutorial videos|iOS|Heroku|Queer|Express|Express
Oracle|DynamoDB|Developer, full-stack|Multiracial||Opportunities for professional development|R|C++|Unity 3D|.NET Core|Trello|Slack|Wanting to work with new technologies|Company reviews from third party sites (e.g. Glassdoor, Blind)|Research companies that have emailed me|Stack Overflow (public Q&A for anyone who codes)|Play games|MacOS|iOS||Gatsby|React.js
PostgreSQL|Elasticsearch|Developer, game or graphics|Black or of African descent||Remote work options|SQL|HTML/CSS|Unreal Engine|Hadoop|Google Suite (Docs, Meet, etc)|Microsoft Azure|Growth or leadership opportunities|Publicly available financial information (e.g. Crunchbase)|Visit developer communities like Stack Overflow|Stack Exchange (public Q&A for a variety of topics)|Panic|AWS|Linux||Laravel|Django
Redis|Firebase|Developer, mobile|Southeast Asian||Diversity of the company or organization|C|JavaScript|Teraform|Unity 3D|Stack Overflow for Teams|Trello|Better work/life balance|||I have never visited any of these sites|Visit another developer community (please name):|IBM Cloud or Watson|MacOS||React.js|Gatsby
SQLite|MariaDB|Academic researcher|Middle Eastern||Specific department or team I’d be working on|C++|PHP|Ansible|Unreal Engine|Github|Google Suite (Docs, Meet, etc)|Better compensation||||Do other work and come back later|Microsoft Azure|Docker||ASP.NET Core|Ruby on Rails
Cassandra|SQLite|Database administrator|Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)||Financial performance or funding status of the company or organization|Dart|Python|Chef|Apache Spark|Gitlab|Facebook Workplace|Trouble with my teammates||||Go for a walk or other physical activity|Windows|WordPress||Angular|Angular
IBM DB2|MongoDB|Designer|Hispanic or Latino/a/x||Family friendliness|HTML/CSS|SQL|Pandas|React Native|Facebook Workplace|Stack Overflow for Teams|Wanting to share accomplishments with a wider network|||||Linux|AWS||Angular.js|Angular.js
DynamoDB|Oracle|Developer, QA or test|||Flex time or a flexible schedule|Java|TypeScript|React Native|TensorFlow|Confluence|Jira|Looking to relocate|||||Slack Apps and Integrations|Microsoft Azure||Vue.js|Drupal
Elasticsearch|Redis|Engineer, data||||Kotlin|VBA|TensorFlow|Torch/PyTorch|||Just because|||||Arduino|Slack Apps and Integrations||Ruby on Rails|Laravel
Firebase|IBM DB2|Data or business analyst||||Objective-C|R|Apache Spark|Chef||||||||Raspberry Pi|Windows||Flask|Spring
Couchbase|Cassandra|Product manager||||Perl|Java|Torch/PyTorch|Keras||||||||Android|Kubernetes||Spring|Vue.js
||Data scientist or machine learning specialist||||Swift|Kotlin|Keras|Pandas||||||||Heroku|Raspberry Pi||Symfony|Flask
||Developer, embedded applications or devices||||TypeScript|Scala|Puppet|Teraform||||||||WordPress|IBM Cloud or Watson||Drupal|Symfony
||DevOps specialist||||PHP|Swift|Flutter|Cordova||||||||||||
||System administrator||||Haskell|Ruby|Xamarin|Flutter||||||||||||
||Senior executive/VP||||Go|Objective-C|Cordova|Puppet||||||||||||
||Engineer, site reliability||||Rust|Dart||||||||||||||
||Engineering manager||||Julia|Go||||||||||||||
||Educator||||VBA|Perl||||||||||||||
||Marketing or sales professional||||Ruby|Rust||||||||||||||
||||||Scala|Haskell||||||||||||||
||||||Assembly|Julia||||||||||||||
